날짜,업체,브랜드,품목,원산지,등급,EST,단가,비고,창고
2026/01/18,금성컴퍼니,NBP,갈비(18.1KG),미국,CAB,262,23000,,
2026/01/18,금성컴퍼니,엑셀,갈비(24.6KG),미국,CH,86K,18200,,
2026/01/18,금성컴퍼니,SWIFT,갈비(27.14KG),미국,CH,1311,19800,,
2026/01/18,HelloFarms,NBP,갈비(앵드컷),,UN,262,"8,400",,
2026/01/18,HelloFarms,EXCEL,곱창,,UN,86R,"3,600",,
2026/01/18,MLP,프리고소노(FRIGOSORNO),곱창,,S,,"3,000",,
2026/01/18,MLP,프리고소노(FRIGOSORNO),꼬리,,S,알꼬리,"22,000",,
2026/01/18,금성컴퍼니,EXCEL,냉장 갈비본살,미국,PR,278,32000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 갈비본살,미국,CH,245C,26000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 늑간,미국,UN,86E,20500,,
2026/01/18,금성컴퍼니,EXCEL,냉장 늑간,미국,CH,86R,22000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 늑간,미국,PR,245E,24000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 늑간,미국,CAB,245E,22000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 늑간,미국,UN,278,21000,,
2026/01/18,금성컴퍼니,NBP,냉장 늑간,미국,CH,,21500,,
2026/01/18,TMS,EXCEL/미국,냉장 늑간살,,CH,86K,22500,,
2026/01/18,금성컴퍼니,올리멜,냉장 목살,,,270A,8000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 부채,미국,PR,,22000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 부채,미국,PR,245C,23000,,
2026/01/18,금성컴퍼니,NBP,냉장 부채,미국,PR,208A,23000,,
2026/01/18,TMS,EXCEL/미국,냉장 부채살,,CH/PR,86K(#3),,,
2026/01/18,금성컴퍼니,NBP,냉장 살치,미국,CAB,86M,34000,,
2026/01/18,TMS,EXCEL/미국,냉장 살치살,,CH/PR,86K,33500,,
2026/01/18,금성컴퍼니,올리멜,냉장 삼겹,,,270A,8500,,
2026/01/18,금성컴퍼니,EXCEL,냉장 숏로인,미국,SS,,40000,,
2026/01/18,금성컴퍼니,TEYS,냉장 안심,호주,A,,36000,,
2026/01/18,금성컴퍼니,TEYS,냉장 안심,호주,S,,42000,,
2026/01/18,금성컴퍼니,NBP,냉장 안창,미국,PR,,36000,,
2026/01/18,TMS,EXCEL/미국,냉장 알목심,,PR,86K,23000,,
2026/01/18,금성컴퍼니,NBP,냉장 알목심,미국,PR,208A,22500,,
2026/01/18,금성컴퍼니,IBP,냉장 진갈비,미국,PR,245C,62000,,
2026/01/18,금성컴퍼니,IBP,냉장 진갈비,미국,CAB,245C,57000,,
2026/01/18,금성컴퍼니,IBP,냉장 진갈비,미국,CH,245J,51000,,
2026/01/18,금성컴퍼니,EXCEL,냉장 채끝,미국,SS,,38000,,
2026/01/18,TMS,EXCEL/미국,냉장 토마호크,,CAB,86K,62000,,
2026/01/18,TMS,EXCEL/미국,냉장 토마호크,,CAB,86K,63000,,
2026/01/18,금성컴퍼니,IBP,냉장 토시,미국,PR,245C,23000,,
2026/01/18,금성컴퍼니,IBP,냉장 토시,미국,CAB,278,19000,,
2026/01/18,금성컴퍼니,IBP,냉장 토시,미국,CH,245E,18000,,
2026/01/18,금성컴퍼니,IBP,냉장 토시,미국,UN,278,17000,,
2026/01/18,금성컴퍼니,NBP,냉장 토시,미국,PR,262,18000,,
2026/01/18,EumyeongFoods,DEMKOTA,늑간,,CH,,20500,,
2026/01/18,금성컴퍼니,다이아몬드,늑간,캐나다,A,38,20000,,
2026/01/18,금성컴퍼니,오마하,늑간,미국,,,22000,,
2026/01/18,MLP,NB,늑간살,,UN,,"23,500",,
2026/01/18,MLP,NBP (냉장육),늑간살,,CH.SE,208.262,23000-21000,,
2026/01/18,MLP,EXCEL,늑립,,SE,86E,"11,000",,
2026/01/18,MLP,헤리스펜치,늑립,,UN,,"11,000",,
2026/01/18,MLP,프리고소노(FRIGOSORNO),대동맥,,S,,"10,200",,
2026/01/18,MLP,프리고소노(FRIGOSORNO),대창,,S,,"3,500",,
2026/01/18,NaruFoods,AASA,항정,,,06-01,16300,,
2026/01/18,NaruFoods,COEXCA,항정,,,07-03,16500,,
2026/01/18,NaruFoods,CONESTOGA,돈갈비,,,,6800,,
2026/01/18,금성컴퍼니,IZIDORO(이지도로),돈갈비,,,,5500,,
2026/01/18,NaruFoods,MARCHER,돈갈비,,진공,,5200,,
2026/01/18,NaruFoods,PROAN,돈갈비,,,,,,
2026/01/18,금성컴퍼니,델라비,돈갈비,,,,5400,,
2026/01/18,MLP,아싸(AASA),돈갈비,,,06-01,"6,200",,
2026/01/18,NaruFoods,COEXCA,돈등심,,,07-03,1500,,
2026/01/18,NaruFoods,CONESTOGA,돈등심,,,,6900,,
2026/01/18,NaruFoods,MAPLE,돈등심,,,,1950,,
2026/01/18,NaruFoods,OYLMEL,돈등심,,270,270,,,
2026/01/18,NaruFoods,SASA,돈등심,,,,,,
2026/01/18,NaruFoods,SWIFT,돈등심,,3W,,1850,,
2026/01/18,NaruFoods,BERNARD,돈등심(8~10),,129,129,12000,,
2026/01/18,NaruFoods,OYLMEL,돈목뼈,,129,129,2300,,
2026/01/18,NaruFoods,SASA,돈목뼈,,,,3500,,
2026/01/18,NaruFoods,AASA,돈목살,,,06-01,,,
2026/01/18,NaruFoods,COEXCA,돈목살,,,07-03,5600,,
2026/01/18,MLP,스미스필드,돈목전지,,,413,"5,650",,
2026/01/18,NaruFoods,BERNARD,돈앞다리,,80,80,7100,,
2026/01/18,NaruFoods,OYLMEL,돈앞다리,,100,100,2200,,
2026/01/18,NaruFoods,MAPLE,돈전지,,,,5500,,
2026/01/18,NaruFoods,COEXCA,돈특육,,,07-03,4000,,
2026/01/18,NaruFoods,COEXCA,돈후지,,,07-03,,,
2026/01/18,TMS,EXCEL/미국,동결 채끝,,CH,86K,32000,,
2026/01/18,HelloFarms,EXCEL,뒷사골,,UN,86M,"2,300",,
2026/01/18,EumyeongFoods,파텔,등심,,규격,,5600,,
2026/01/18,NaruFoods,AASA,등심덧살,,,06-01,,,
2026/01/18,MLP,프리고소노(FRIGOSORNO),떡심,,S,,"8,000",,
2026/01/18,MLP,아싸(AASA),로인립,,,06-01,"13,000",,
2026/01/18,EumyeongFoods,파텔,로인립,,규격,,9500,,
2026/01/18,HelloFarms,NBP,리브렛,,UN,262,"8,900",,
2026/01/18,금성컴퍼니,NBP,리블렛,미국,UN,262,8900,,
2026/01/18,NaruFoods,COEXCA,막창,,,07-03,4500,,
2026/01/18,EumyeongFoods,ALLIANCE,목뼈,,BEEF,18/21,2800,,
2026/01/18,EumyeongFoods,메이플,목뼈,,비규격,7,2000,,
2026/01/18,MLP,아싸(AASA),목뼈,,,06-01,"2,000",,
2026/01/18,EumyeongFoods,프라임,목뼈,,규격,#1,2450,,
2026/01/18,NaruFoods,INCARLOPSA,목살,,스페인,,2100,,
2026/01/18,MLP,아싸(AASA),목살,,,06-01,7100-7200,,
2026/01/18,금성컴퍼니,ECT,목심,캐나다,A,486,13700,,
2026/01/18,EumyeongFoods,PPCS,목심,,,,14700,,
2026/01/18,EumyeongFoods,SWIFT,목심,,S,7,15300,,
2026/01/18,EumyeongFoods,TEYS,목심,,A,7,15000,,
