품목,등급,EST,평균중량,창고/유통기한,비고,단가,날짜,업체,브랜드,원산지,창고
숏로인,LAMB,16,,,,15000,2026/01/19,우진미트,V&V,뉴질랜드,
인앤아웃갈비(10-13),,,,,,8800,2026/01/19,NaruFoods,WESTFORT,,
목심,A,,,,,"14,200",2026/01/19,,WINGHAM,호주,강동2
갈비,YGGF,89,,,통관예정,14000,2026/01/19,독보팜스,WMPG,호주,삼진1
갈비,S,89,,,,12000,2026/01/19,독보팜스,WMPG,호주,삼진1
갈비,A,89,,,,11000,2026/01/19,독보팜스,WMPG,호주,삼진1
늑간,S,89,,,통관예정,16000,2026/01/19,독보팜스,WMPG,호주,삼진1
백립,S,89,,,,8000,2026/01/19,독보팜스,WMPG,호주,삼진1
조각백립,GF/S,89,,,,6500,2026/01/19,독보팜스,WMPG,호주,삼진1
헤드미트,,968,,,통관예정,8700,2026/01/19,독보팜스,WMPG,호주,삼진1
갈비,GFYG,21.4,,,,13500,2026/01/19,우진미트,WMPG(HALAL),호주,
갈비,S,18.5,,,,12000,2026/01/19,우진미트,WMPG(HALAL),호주,
갈비,A,19.3,,,,11500,2026/01/19,우진미트,WMPG(HALAL),호주,
등갈비,S,18.4,,,,9000,2026/01/19,우진미트,WMPG(HALAL),호주,
잡육,60CL,,,,,7000,2026/01/19,우진미트,WMPG(HALAL),호주,
잡육,65CL,27.2,,,,7600,2026/01/19,우진미트,WMPG(HALAL),호주,
갈비,PR,,,,100%블랙앵거스,28000,2026-01-21,,WR,미국,
백립,,,,,100%블랙앵거스,8800,2026-01-21,,WR,미국,
양지늑간,,,,,100%블랙앵거스,13500,2026-01-21,,WR,미국,
조각삼겹양지,,,,,100%블랙앵거스,7700,2026-01-21,,WR,미국,
황제늑간,,,,,100%블랙앵거스,17500,2026-01-21,,WR,미국,
BBQ,,,,,100%블랙앵거스,10000,2026-01-21,,WR,미국,
갈비,초이스,20.7,,,,26000,2026/01/19,우진미트,WR(블랙앵거스),미국,
갈비,CAB,21.2,,,,27000,2026/01/19,우진미트,WR(블랙앵거스),미국,
갈비,프라임,,,,,28000,2026/01/19,우진미트,WR(블랙앵거스),미국,
끝갈비,,23.5,,,,9500,2026/01/19,우진미트,WR(블랙앵거스),미국,
늑간,초이스,22.4,,,,21000,2026/01/19,우진미트,WR(블랙앵거스),미국,
등갈비,,29,,,,8800,2026/01/19,우진미트,WR(블랙앵거스),미국,
척BBQ,,23,,,,9500,2026/01/19,우진미트,WR(블랙앵거스),미국,
척갈비,CH,86M,,,,14500,2026/01/19,HelloFarms,,,
척갈비,SEL/UN,86E,,,,11000,2026/01/19,HelloFarms,,,
탕갈비,CH,86R,,,,8000,2026/01/19,HelloFarms,,,
탕갈비,CH(AP),86M,,,,8200,2026/01/19,HelloFarms,,,
탕갈비,UN,86K,,,,7400,2026/01/19,HelloFarms,,,
LA갈비,CAB,86E,,,,18300,2026/01/19,HelloFarms,,,
LA갈비,CH,86M,,,,21000,2026/01/19,HelloFarms,,,
LA갈비,CH,86K,,,,18200,2026/01/19,HelloFarms,,,
LA갈비,CH,86E,,,,18000,2026/01/19,HelloFarms,,,
LA갈비,SEL,86M,,,,18300,2026/01/19,HelloFarms,,,
LA갈비,SEL,86R,,,,18200,2026/01/19,HelloFarms,,,
LA갈비,SEL/UN,86K,,,,17800,2026/01/19,HelloFarms,,,
LA갈비,SEL/UN,86E,,,,17600,2026/01/19,HelloFarms,,,
